iter	Passed	Remaining
414	3046	4294
415	3054	4287
416	3060	4278
417	3070	4274
418	3077	4267
419	3085	4261
420	3092	4252
421	3100	4247
422	3107	4238
423	3115	4232
424	3121	4223
425	3129	4217
426	3137	4209
427	3145	4203
428	3152	4196
429	3160	4188
430	3166	4180
431	3172	4171
432	3181	4166
433	3188	4157
434	3196	4151
435	3202	4142
436	3209	4135
437	3216	4127
438	3224	4121
439	3231	4112
440	3239	4106
441	3246	4098
442	3253	4091
443	3260	4083
444	3267	4075
445	3275	4069
446	3282	4060
447	3290	4054
448	3297	4046
449	3306	4040
450	3312	4032
451	3321	4026
452	3327	4018
453	3335	4011
454	3342	4003
455	3349	3996
456	3357	3988
457	3364	3981
458	3372	3975
459	3381	3970
460	3391	3964
461	3399	3958
462	3406	3951
463	3414	3944
464	3421	3936
465	3429	3930
466	3436	3921
467	3444	3915
468	3451	3907
469	3457	3899
470	3467	3894
471	3473	3885
472	3481	3878
473	3487	3870
474	3497	3865
475	3503	3857
476	3511	3850
477	3518	3842
478	3526	3835
479	3533	3827
480	3540	3820
481	3547	3812
482	3555	3805
483	3563	3799
484	3573	3794
485	3581	3787
486	3591	3782
487	3598	3775
488	3607	3769
489	3614	3762
490	3623	3756
491	3630	3748
492	3639	3743
493	3646	3735
494	3656	3729
495	3662	3721
496	3671	3716
497	3678	3708
498	3688	3703
499	3695	3695
500	3703	3688
501	3710	3680
502	3719	3675
503	3726	3666
504	3734	3660
505	3742	3653
506	3751	3647
507	3758	3639
508	3766	3633
509	3773	3625
510	3782	3619
511	3788	3610
512	3795	3603
513	3819	3611
514	3828	3605
515	3835	3598
516	3846	3593
517	3854	3586
518	3866	3583
519	3874	3576
520	3882	3569
521	3889	3561
522	3897	3554
523	3904	3547
524	3913	3540
525	3921	3533
526	3929	3526
527	3935	3518
528	3943	3511
529	3949	3502
530	3958	3496
531	3965	3488
532	3973	3481
533	3980	3473
534	3990	3468
535	3997	3460
536	4006	3454
537	4013	3446
538	4021	3439
539	4028	3431
540	4037	3425
541	4043	3417
542	4052	3410
543	4058	3402
544	4066	3394
545	4073	3386
546	4080	3379
547	4087	3371
548	4094	3363
549	4102	3356
550	4108	3347
551	4116	3341
552	4123	3332
553	4131	3326
554	4138	3317
555	4146	3311
556	4154	3303
557	4162	3296
558	4169	3289
559	4176	3281
560	4183	3273
561	4190	3265
562	4199	3259
563	4207	3252
564	4214	3244
565	4221	3236
566	4228	3229
567	4236	3221
568	4244	3215
569	4251	3207
570	4261	3201
571	4268	3194
572	4277	3187
573	4283	3178
574	4291	3171
575	4297	3163
576	4305	3156
577	4313	3149
578	4320	3141
579	4327	3133
580	4333	3125
581	4340	3117
582	4346	3109
583	4354	3101
584	4360	3093
585	4366	3085
586	4374	3077
587	4380	3069
588	4387	3061
589	4393	3052
590	4400	3045
591	4407	3037
592	4414	3029
593	4420	3021
594	4427	3013
595	4434	3006
596	4441	2998
597	4448	2990
598	4455	2982
599	4462	2975
600	4469	2967
601	4475	2958
602	4481	2950
603	4487	2942
604	4494	2934
605	4500	2926
606	4507	2918
607	4515	2911
608	4522	2903
609	4529	2895
610	4535	2887
611	4542	2879
612	4548	2871
613	4554	2863
614	4560	2854
615	4565	2846
616	4571	2837
617	4577	2829
618	4583	2821
619	4590	2813
620	4596	2804
621	4602	2796
622	4609	2789
623	4614	2780
624	4623	2773
625	4630	2766
626	4637	2758
627	4643	2750
628	4650	2742
629	4657	2735
630	4663	2726
631	4670	2719
632	4676	2711
633	4683	2703
634	4689	2695
635	4694	2686
636	4700	2678
637	4707	2670
638	4712	2662
639	4718	2653
640	4723	2645
641	4730	2637
642	4736	2629
643	4742	2621
644	4748	2613
645	4754	2605
646	4760	2597
647	4765	2588
648	4771	2580
649	4776	2572
650	4782	2563
651	4788	2555
652	4794	2547
653	4799	2539
654	4807	2532
655	4814	2524
656	4821	2516
657	4827	2509
658	4833	2501
