iter	Logloss
0	0.6581817951
1	0.6231966165
2	0.5973292399
3	0.5660481098
4	0.541968912
5	0.5249870868
6	0.5044660152
7	0.4870327316
8	0.4700568153
9	0.4516709293
10	0.4358265414
11	0.4176876424
12	0.4056023932
13	0.39414234
14	0.3820216732
15	0.3742681186
16	0.3634700122
17	0.3530403146
18	0.3426498899
19	0.3355004537
20	0.3288172842
21	0.3213306053
22	0.3142818735
23	0.3060808598
24	0.3012389776
25	0.2943035427
26	0.2876613937
27	0.2843856902
28	0.2804575878
29	0.2769914107
30	0.2733032875
31	0.2702324337
32	0.2677904149
33	0.2653578
34	0.2624147814
35	0.2603683742
36	0.2576798909
37	0.2542762801
38	0.2517014721
39	0.2504389919
40	0.2480052601
41	0.2457683973
42	0.2417180265
43	0.2403323051
44	0.2383237296
45	0.23643908
46	0.235310434
47	0.2338990771
48	0.2325071945
49	0.2315111757
50	0.2302392016
51	0.2288410858
52	0.2279050573
53	0.2263810339
54	0.2256679602
55	0.224743047
56	0.2234552917
57	0.2229364208
58	0.2225411695
59	0.2216399102
60	0.2202273823
61	0.2187644841
62	0.2180677682
63	0.2174572004
64	0.216870899
65	0.2158128542
66	0.21555005
67	0.2146032484
68	0.2138079719
69	0.2131135979
70	0.2126406115
71	0.2122408204
72	0.2119762506
73	0.2110977263
74	0.2109234843
75	0.210243162
76	0.2098068724
77	0.2096309189
78	0.2092477197
79	0.2089492816
80	0.2082972611
81	0.2079566496
82	0.207730362
83	0.2075193871
84	0.2071470871
85	0.2069451739
86	0.2063781666
87	0.2058291565
88	0.2053784907
89	0.2047800472
90	0.2043635381
91	0.2041669933
92	0.2040028217
93	0.2037380358
94	0.2033734642
95	0.2027543754
96	0.2026062012
97	0.2023427123
98	0.2021834589
99	0.2019413179
100	0.2016468431
101	0.2013297593
102	0.2011883048
103	0.20087005
104	0.2003722568
105	0.20018036
106	0.199789018
107	0.1996693437
108	0.1992810822
109	0.1989638544
110	0.1987583741
111	0.1986508961
112	0.198368041
113	0.1980700712
114	0.1979703937
115	0.1976922586
116	0.1974114392
117	0.1972690479
118	0.1971533549
119	0.1968737245
120	0.1967588242
121	0.1965558301
122	0.1962247846
123	0.1960923016
124	0.1959668805
125	0.1958619605
126	0.1957314772
127	0.195455684
128	0.1953767238
129	0.1950948416
130	0.1949729874
131	0.194861456
132	0.1947517981
133	0.1945367698
134	0.1944174919
135	0.1941673342
136	0.1939670964
137	0.193802078
138	0.1937005269
139	0.1935734124
140	0.1935029013
141	0.1933606
142	0.1930641796
143	0.192921536
144	0.1928145263
145	0.1926762785
146	0.1925837349
147	0.1924748697
148	0.1921765036
149	0.1919437845
150	0.1917932504
151	0.19168543
152	0.1915865811
153	0.1914103755
154	0.1912683985
155	0.1911415361
156	0.1910545772
157	0.1908951436
158	0.19079543
159	0.1906823313
160	0.1905509291
161	0.190439812
162	0.1902729201
163	0.190165442
164	0.1900775283
165	0.1899205808
166	0.1897969252
167	0.1897129928
168	0.1894796793
169	0.18929679
170	0.1892438616
171	0.1891502191
172	0.1890418043
173	0.1889498192
174	0.1887715598
175	0.1885848152
176	0.1885085213
177	0.1884271111
178	0.1882867194
179	0.1882002469
180	0.188001144
181	0.1878947108
182	0.1877986723
183	0.1877049037
184	0.1876375093
185	0.1875241402
186	0.1874350195
187	0.1873348376
188	0.1871557495
189	0.1870941919
190	0.1870459835
191	0.1869890918
192	0.1869410635
193	0.1868811813
194	0.1867824226
195	0.1867290258
196	0.1866503359
197	0.1865155469
198	0.1864289663
199	0.1863183176
200	0.1862530849
201	0.1861574067
202	0.1860930928
203	0.1859597811
204	0.1858540505
205	0.1857678842
206	0.1856546053
207	0.185583878
208	0.1854691218
209	0.1853204432
210	0.1852589757
211	0.185209236
212	0.1851372837
213	0.1850941736
214	0.1850069625
215	0.1849969821
216	0.1848995925
217	0.184822668
218	0.1847269898
219	0.1846215294
220	0.1845699882
221	0.1844454318
222	0.1843607969
223	0.1842950778
224	0.1842150007
225	0.1841180975
226	0.1839894156
227	0.1838325401
228	0.1836478313
229	0.1835928492
230	0.1835190234
231	0.1833677326
232	0.1833222264
233	0.1832355558
234	0.1831709176
235	0.1830516576
236	0.1829996481
237	0.1829132116
238	0.1828242891
239	0.1827708203
240	0.1826626756
241	0.1825037644
242	0.1824420807
243	0.1823699843
244	0.1823267841
245	0.1822133791
246	0.1821303655
247	0.1820822832
248	0.1820401999
249	0.1819555469
250	0.1818859186
251	0.1818334766
252	0.1817618666
253	0.1815865617
254	0.1814943784
255	0.1814329289
256	0.1813374669
257	0.1812601101
258	0.1812055784
259	0.1811211596
260	0.1810120241
261	0.1809383244
262	0.1808438532
263	0.1807691266
264	0.1807118205
265	0.1806510196
266	0.1805625474
267	0.1804811192
268	0.1803295221
269	0.1802765037
270	0.180200498
271	0.1801418048
272	0.1800420732
273	0.1799611494
274	0.1798590037
275	0.1798041298
276	0.1797381585
277	0.1796677555
278	0.1796037298
279	0.1795505132
280	0.1794765432
281	0.1793915479
282	0.1792807191
283	0.1792075417
284	0.1791390123
285	0.1790725005
286	0.1789882619
287	0.1788951959
288	0.1787965633
289	0.1787535252
290	0.1786687642
291	0.1785975325
292	0.1785144288
293	0.17842284
294	0.178340511
295	0.1783126597
296	0.1782208367
297	0.1780951093
298	0.1780308675
299	0.1778891067
300	0.177831044
301	0.1777733777
302	0.1777276013
303	0.177653271
304	0.1776084675
305	0.1775549086
306	0.1775142305
307	0.1774684721
308	0.1773871159
309	0.1773305485
310	0.177253606
311	0.1772187829
312	0.1771665211
313	0.1770717796
314	0.1769611669
315	0.1768969611
316	0.1768127225
317	0.1767292766
318	0.1766932104
319	0.1766553967
320	0.1766264284
321	0.1765654112
322	0.1765077269
323	0.1764617704
324	0.1763948623
325	0.1763476808
326	0.1763101733
327	0.1762230343
328	0.1761830227
329	0.1761234648
330	0.1760526295
331	0.1759827129
332	0.1759350089
333	0.1758722983
334	0.1758163434
335	0.1757553443
336	0.175701371
337	0.1756065756
338	0.1755043039
339	0.1754070043
340	0.1753393036
341	0.1752893297
342	0.1751903367
343	0.1751502892
344	0.1751227621
345	0.1750422346
346	0.1749850907
347	0.1749391882
348	0.1748763876
349	0.1747797546
350	0.1747051361
351	0.1746413626
352	0.1745683294
353	0.1744730295
354	0.1743556071
355	0.174325684
356	0.1742508673
357	0.174202803
358	0.1741394259
359	0.1740895601
360	0.1739966382
361	0.1739418363
362	0.1738667674
363	0.1738132625
364	0.1737245742
365	0.173631292
366	0.1735459005
367	0.1734480785
368	0.1733485631
369	0.1732646487
370	0.1732129814
371	0.1731549728
372	0.1730757244
373	0.1729954491
374	0.172966715
375	0.1729324683
376	0.1728388438
377	0.1727539567
378	0.1727082884
379	0.1726396149
380	0.1725370549
381	0.1724542575
382	0.1723828456
383	0.1723108213
384	0.1722581091
385	0.1721962813
386	0.1720427206
